2024/10/10 11:53:35 [error] 3740#3044: *43419 WSARecv() failed (10054: FormatMessage() error:(15100)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/jetpack/v4/connection/data?_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10021", host: "laviedesplantes.local", referrer: "http://laviedesplantes.local/wp-admin/admin.php?page=wc-settings&tab=products"
2024/10/10 11:53:35 [error] 3740#3044: *43417 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_admin_transient_notices_queue%2Cwoocommerce_admin_install_timestamp&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10020", host: "laviedesplantes.local", referrer: "http://laviedesplantes.local/wp-admin/admin.php?page=wc-settings&tab=products"
2024/10/10 11:53:35 [error] 3740#3044: *43417 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_admin_transient_notices_queue%2Cwoocommerce_admin_install_timestamp&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "laviedesplantes.local", referrer: "http://laviedesplantes.local/wp-admin/admin.php?page=wc-settings&tab=products"
2024/10/10 11:53:35 [error] 3740#3044: *43419 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/jetpack/v4/connection/data?_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10020", host: "laviedesplantes.local", referrer: "http://laviedesplantes.local/wp-admin/admin.php?page=wc-settings&tab=products"
2024/10/10 11:53:35 [error] 3740#3044: *43421 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-analytics/admin/notes?page=1&per_page=25&type=error%2Cupdate&status=unactioned&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10020", host: "laviedesplantes.local", referrer: "http://laviedesplantes.local/wp-admin/admin.php?page=wc-settings&tab=products"
2024/10/10 11:53:35 [error] 3740#3044: *43421 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-analytics/admin/notes?page=1&per_page=25&type=error%2Cupdate&status=unactioned&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "laviedesplantes.local", referrer: "http://laviedesplantes.local/wp-admin/admin.php?page=wc-settings&tab=products"
2024/10/10 11:53:35 [error] 3740#3044: *43425 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_task_list_reminder_bar_hidden&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10020", host: "laviedesplantes.local", referrer: "http://laviedesplantes.local/wp-admin/admin.php?page=wc-settings&tab=products"
2024/10/10 11:53:35 [error] 3740#3044: *43425 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_task_list_reminder_bar_hidden&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "laviedesplantes.local", referrer: "http://laviedesplantes.local/wp-admin/admin.php?page=wc-settings&tab=products"
2024/10/10 11:53:39 [error] 3740#3044: *43427 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/admin.php?page=wc-settings&tab=products&section=inventory HTTP/1.0", upstream: "fastcgi://php", host: "laviedesplantes.local", referrer: "http://laviedesplantes.local/wp-admin/admin.php?page=wc-settings&tab=products"
2024/10/10 11:53:39 [error] 3740#3044: *43428 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "laviedesplantes.local", referrer: "http://laviedesplantes.local/wp-admin/admin.php?page=wc-settings&tab=products&section=inventory"
2024/10/10 11:53:42 [error] 3740#3044: *43429 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/admin.php?page=wc-settings&tab=products HTTP/1.0", upstream: "fastcgi://php", host: "laviedesplantes.local", referrer: "http://laviedesplantes.local/wp-admin/admin.php?page=wc-settings&tab=shipping"
2024/10/10 11:53:42 [error] 3740#3044: *43430 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "laviedesplantes.local", referrer: "http://laviedesplantes.local/wp-admin/admin.php?page=wc-settings&tab=products"
2024/10/10 11:53:45 [error] 3740#3044: *43431 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "laviedesplantes.local", referrer: "http://laviedesplantes.local/wp-admin/edit.php?post_type=page"
